node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw,os,arch,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
ant228c5a6db307330c6bbf8f1697b45,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,内蒙古,电信,乌海,droid.B,host,False,default,0,,,,,,,,,
ant23271c41f55db3db8bd4a224e6f02,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,湖北,移动,宜昌,droid.A,host,False,,0,,,,,,,,,
ant216206876c8cc333cb0fd73611d17,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,联通,石家庄,droid.B,host,False,,0,android,armeabi-v7a,96.77,4.0,3860192.0,57788784967.0,0.0,0.0,57788784967.0
ant22d548a2c98ec3d79bc550a0d039d,36339,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,黑龙江,联通,哈尔滨,droid.B,host,False,,0,,,,,,,,,
ant2439559c406193e169f3fe55b8b0c,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,湖北,电信,武汉,droid.B,host,False,default,0,,,,,,,,,
6a32f91919ee4f98913c8ea70de46461,9942,aggregation,aggregation,serverDial,public,,self,specified,上海,联通,上海,jarvis.A,host,False,,1000,linux,x86_64,280.0,20.0,24341516.0,1906965483520.0,4096.0,1649267441664.0,257698037760.0
ant22580edac16f93c35966465fefb89,31021,smallBox,aggregation,dhcpNetSingle,full,,self,specified,山东,联通,潍坊,droid.B,,False,default,0,,,,,,,,,
ant24d39a6b612a43ab79ec310673898,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,贵州,联通,黔南,droid.B,host,False,,0,,,,,,,,,
ant20243afbf182c38758246802c3b2a,52176,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,联通,济宁,droid.B,host,False,,0,android,armeabi-v7a,83.85,4.0,2019608.0,27605902295.0,0.0,0.0,27605902295.0
ant222154122dc3d3aa6a466d03e4084,76214,smallBox,aggregation,dhcpNetSingle,full,,self,specified,江苏,电信,无锡,droid.B,host,False,default,0,,,,,,,,,
