node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
ant21bcd9bbc540132798df10d9fda0b,10000251,1.24,5.22,1,10000238,1.16,5.22,1,10000256,1.06,5.22,1
ant21cafde6b63c5340d94dd53b92508,10000193,1.17,5.22,1,10000182,0.94,5.22,1,10000288,0.92,5.22,1
ant21cdb4919877a3a4989f45a566c0a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant21d57f6f34d15377a9d93c5ee3503,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant21e328177a8f23ab89dbef767eb01,10000251,1.24,5.22,1,10000238,1.16,5.22,1,10000256,1.06,5.22,1
ant21e62850d37e33e89b1b11b6e3205,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant21ea0abc81d363b44be109da3c303,10000251,1.79,5.22,1,10000303,0.72,5.22,1,10000256,0.62,5.22,1
ant21fd5ae78356e323c928c95cf9309,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant220024103de9e3f29a3402fbab208,10000251,1.24,5.22,1,10000238,1.16,5.22,1,10000256,1.06,5.22,1
ant22032803c5e6233dcb09deaea0504,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2206f50941f333838b8a717236707,10000038,4.27,5.22,1,10000149,3.66,5.41,1,10000050,3.24,5.22,1
ant220de1dcec0353b84928e020f2904,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant220f7694dde103fbfb3430e561705,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2210fd262c91f3302a20bd54a5903,10000149,2.16,5.41,1,10000038,2.04,5.22,1,10000083,1.78,5.22,1
ant2213851919dc53ab3b8e63ee1ee0c,10000038,3.21,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2220eb38b47793febb8698bbefc08,10000050,2.61,5.22,1,10000182,1.07,5.22,1,10000168,1.06,5.22,1
ant2229467626be73c1787c89e3f4a0a,10000149,4.11,5.41,1,10000084,2.47,5.95,1,10000129,2.38,5.22,1
ant223f9a1cc927535858ca8b44a010c,10000251,1.24,5.22,1,10000238,1.16,5.22,1,10000256,1.06,5.22,1
ant2245cc1082baa357bb57af2b3ea09,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant224686a26b2173d959a00c3686c0a,10000050,3.11,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2247aef17b9533dc5ac3b8fd89a06,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2248d9a859f293204a43c51391d02,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2251de598d49c315aa85e2119f00b,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant225626cc60a993567815c6148b20b,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant225d032e81f805bf270765f469a06,1380389889,14.75,5.83,1,10000307,14.4,6.23,1,10000019,14.04,13.1,1
ant22608de3cf3df3873b93ba5c49905,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2261241b8a6de3cc582cb09bf1c09,10000149,5.31,5.41,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant226210a218e363f709aab97b4b105,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2279f4906d96d3495ad78b6e40a00,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant227efd3653d013fbe808c6e169803,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant227f720dc3c2738a98924d82d6203,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
